Site Name,UMD-N-Division,UMD-N-Division
Site Identifier,300027339,300027339
Flow Identifier,353333343,353333344
Flow Name,UMD-N-Division Cyclist IN,UMD-N-Division Cyclist OUT
2022-09-01 02:45,0,0
2022-09-01 03:00,0,0
2022-09-01 03:15,0,0
2022-09-01 03:30,0,0
2022-09-01 03:45,0,0
2022-09-01 04:00,0,0
2022-09-01 04:15,0,0
2022-09-01 04:30,0,0
2022-09-01 04:45,0,0
2022-09-01 05:00,1,0
2022-09-01 05:15,1,0
2022-09-01 05:30,0,0
2022-09-01 05:45,0,0
2022-09-01 06:00,1,0
2022-09-01 06:15,0,0
2022-09-01 06:30,0,0
2022-09-01 06:45,3,1
2022-09-01 07:00,0,1
2022-09-01 07:15,5,0
2022-09-01 07:30,7,1
2022-09-01 07:45,9,2
2022-09-01 08:00,2,2
2022-09-01 08:15,2,3
2022-09-01 08:30,2,3
2022-09-01 08:45,5,0
2022-09-01 09:00,5,2
2022-09-01 09:15,4,5
2022-09-01 09:30,0,3
2022-09-01 09:45,4,3
2022-09-01 10:00,9,3
2022-09-01 10:15,7,4
2022-09-01 10:30,4,1
2022-09-01 10:45,2,2
2022-09-01 11:00,10,1
2022-09-01 11:15,4,2
2022-09-01 11:30,6,2
2022-09-01 11:45,2,0
2022-09-01 12:00,3,0
2022-09-01 12:15,2,1
2022-09-01 12:30,4,1
2022-09-01 12:45,5,2
2022-09-01 13:00,2,1
2022-09-01 13:15,5,1
2022-09-01 13:30,6,1
2022-09-01 13:45,3,0
2022-09-01 14:00,4,1
2022-09-01 14:15,3,0
2022-09-01 14:30,2,2
2022-09-01 14:45,7,1
2022-09-01 15:00,4,1
2022-09-01 15:15,6,0
2022-09-01 15:30,4,3
2022-09-01 15:45,7,2
2022-09-01 16:00,10,4
2022-09-01 16:15,9,1
2022-09-01 16:30,3,1
2022-09-01 16:45,4,2
2022-09-01 17:00,7,0
2022-09-01 17:15,9,2
2022-09-01 17:30,12,1
2022-09-01 17:45,3,5
2022-09-01 18:00,5,2
2022-09-01 18:15,7,1
2022-09-01 18:30,8,0
2022-09-01 18:45,3,1
2022-09-01 19:00,4,0
2022-09-01 19:15,3,2
2022-09-01 19:30,3,1
2022-09-01 19:45,3,2
2022-09-01 20:00,1,0
2022-09-01 20:15,3,1
2022-09-01 20:30,2,0
2022-09-01 20:45,4,1
2022-09-01 21:00,2,0
2022-09-01 21:15,3,2
2022-09-01 21:30,2,0
2022-09-01 21:45,1,0
2022-09-01 22:00,2,0
2022-09-01 22:15,2,0
2022-09-01 22:30,0,0
2022-09-01 22:45,0,0
2022-09-01 23:00,1,0
2022-09-01 23:15,1,0
2022-09-01 23:30,0,1
2022-09-01 23:45,1,0
2022-09-02 00:00,0,0
2022-09-02 00:15,0,0
2022-09-02 00:30,0,0
2022-09-02 00:45,0,0
2022-09-02 01:00,0,0
2022-09-02 01:15,0,0
2022-09-02 01:30,1,0
2022-09-02 01:45,0,0
2022-09-02 02:00,0,0
2022-09-02 02:15,1,0
2022-09-02 02:30,0,0
2022-09-02 02:45,0,0
2022-09-02 03:00,0,0
2022-09-02 03:15,0,0
2022-09-02 03:30,0,0
2022-09-02 03:45,0,0
2022-09-02 04:00,0,0
2022-09-02 04:15,0,0
2022-09-02 04:30,0,0
2022-09-02 04:45,0,0
2022-09-02 05:00,0,0
2022-09-02 05:15,0,0
2022-09-02 05:30,0,0
2022-09-02 05:45,0,0
2022-09-02 06:00,0,0
2022-09-02 06:15,0,0
2022-09-02 06:30,1,0
2022-09-02 06:45,2,0
2022-09-02 07:00,1,0
2022-09-02 07:15,1,1
2022-09-02 07:30,1,0
2022-09-02 07:45,2,1
2022-09-02 08:00,1,0
2022-09-02 08:15,0,2
2022-09-02 08:30,3,0
2022-09-02 08:45,1,0
2022-09-02 09:00,4,2
2022-09-02 09:15,0,1
2022-09-02 09:30,4,1
2022-09-02 09:45,1,3
2022-09-02 10:00,4,1
2022-09-02 10:15,2,2
2022-09-02 10:30,2,2
2022-09-02 10:45,3,2
2022-09-02 11:00,3,2
2022-09-02 11:15,0,0
2022-09-02 11:30,0,0
2022-09-02 11:45,3,2
2022-09-02 12:00,5,0
2022-09-02 12:15,5,0
2022-09-02 12:30,2,0
2022-09-02 12:45,7,1
2022-09-02 13:00,3,0
2022-09-02 13:15,4,2
2022-09-02 13:30,5,2
2022-09-02 13:45,5,2
2022-09-02 14:00,4,0
2022-09-02 14:15,7,1
2022-09-02 14:30,2,0
2022-09-02 14:45,3,0
2022-09-02 15:00,6,1
2022-09-02 15:15,7,1
2022-09-02 15:30,4,3
2022-09-02 15:45,4,0
2022-09-02 16:00,9,2
2022-09-02 16:15,7,1
2022-09-02 16:30,5,0
2022-09-02 16:45,4,1
2022-09-02 17:00,2,3
2022-09-02 17:15,11,1
2022-09-02 17:30,3,3
2022-09-02 17:45,5,1
2022-09-02 18:00,2,2
2022-09-02 18:15,4,0
2022-09-02 18:30,5,1
2022-09-02 18:45,9,2
2022-09-02 19:00,2,1
2022-09-02 19:15,5,0
2022-09-02 19:30,2,2
2022-09-02 19:45,2,1
2022-09-02 20:00,5,0
2022-09-02 20:15,6,4
2022-09-02 20:30,3,0
2022-09-02 20:45,3,1
2022-09-02 21:00,2,0
2022-09-02 21:15,8,1
2022-09-02 21:30,0,0
2022-09-02 21:45,1,0
2022-09-02 22:00,3,0
2022-09-02 22:15,0,0
2022-09-02 22:30,3,0
2022-09-02 22:45,1,0
2022-09-02 23:00,2,1
2022-09-02 23:15,1,1
2022-09-02 23:30,0,0
2022-09-02 23:45,3,0
2022-09-03 00:00,0,0
2022-09-03 00:15,0,0
2022-09-03 00:30,0,0
2022-09-03 00:45,2,0
2022-09-03 01:00,1,0
2022-09-03 01:15,0,0
2022-09-03 01:30,1,0
2022-09-03 01:45,0,0
2022-09-03 02:00,0,0
2022-09-03 02:15,2,0
2022-09-03 02:30,0,0
2022-09-03 02:45,0,0
2022-09-03 03:00,0,1
2022-09-03 03:15,0,0
2022-09-03 03:30,0,0
2022-09-03 03:45,0,0
2022-09-03 04:00,0,0
2022-09-03 04:15,0,0
2022-09-03 04:30,0,0
2022-09-03 04:45,0,0
2022-09-03 05:00,0,0
2022-09-03 05:15,0,0
2022-09-03 05:30,0,0
2022-09-03 05:45,0,0
2022-09-03 06:00,1,0
2022-09-03 06:15,0,0
2022-09-03 06:30,0,0
2022-09-03 06:45,0,0
2022-09-03 07:00,1,0
2022-09-03 07:15,1,0
2022-09-03 07:30,1,1
2022-09-03 07:45,0,3
2022-09-03 08:00,1,0
2022-09-03 08:15,8,1
2022-09-03 08:30,6,1
2022-09-03 08:45,3,1
2022-09-03 09:00,6,2
2022-09-03 09:15,5,3
2022-09-03 09:30,3,0
2022-09-03 09:45,10,0
2022-09-03 10:00,5,3
2022-09-03 10:15,3,2
2022-09-03 10:30,3,0
2022-09-03 10:45,2,0
2022-09-03 11:00,1,3
2022-09-03 11:15,6,5
2022-09-03 11:30,7,2
2022-09-03 11:45,7,3
2022-09-03 12:00,4,0
2022-09-03 12:15,1,3
2022-09-03 12:30,2,0
2022-09-03 12:45,5,1
2022-09-03 13:00,0,2
2022-09-03 13:15,4,2
2022-09-03 13:30,2,0
2022-09-03 13:45,4,1
2022-09-03 14:00,3,1
2022-09-03 14:15,3,0
2022-09-03 14:30,2,1
2022-09-03 14:45,7,1
2022-09-03 15:00,4,1
2022-09-03 15:15,6,0
2022-09-03 15:30,5,4
2022-09-03 15:45,7,1
2022-09-03 16:00,9,1
2022-09-03 16:15,5,0
2022-09-03 16:30,2,0
2022-09-03 16:45,5,0
2022-09-03 17:00,5,3
2022-09-03 17:15,3,0
2022-09-03 17:30,0,0
2022-09-03 17:45,6,1
2022-09-03 18:00,2,1
2022-09-03 18:15,4,0
2022-09-03 18:30,2,0
2022-09-03 18:45,9,2
2022-09-03 19:00,3,1
2022-09-03 19:15,0,2
2022-09-03 19:30,2,0
2022-09-03 19:45,1,1
2022-09-03 20:00,2,0
2022-09-03 20:15,0,0
2022-09-03 20:30,1,0
2022-09-03 20:45,1,2
2022-09-03 21:00,4,0
2022-09-03 21:15,1,0
2022-09-03 21:30,0,0
2022-09-03 21:45,2,4
2022-09-03 22:00,2,0
2022-09-03 22:15,2,0
2022-09-03 22:30,3,0
2022-09-03 22:45,0,1
2022-09-03 23:00,3,0
2022-09-03 23:15,2,0
2022-09-03 23:30,3,0
2022-09-03 23:45,4,0
2022-09-04 00:00,0,0
2022-09-04 00:15,1,0
2022-09-04 00:30,0,0
2022-09-04 00:45,1,0
2022-09-04 01:00,0,0
2022-09-04 01:15,0,1
2022-09-04 01:30,0,0
2022-09-04 01:45,0,0
2022-09-04 02:00,1,0
2022-09-04 02:15,0,0
2022-09-04 02:30,0,0
2022-09-04 02:45,1,0
2022-09-04 03:00,0,0
2022-09-04 03:15,0,0
2022-09-04 03:30,0,0
2022-09-04 03:45,0,0
2022-09-04 04:00,0,0
2022-09-04 04:15,0,0
2022-09-04 04:30,0,0
2022-09-04 04:45,0,0
2022-09-04 05:00,0,0
2022-09-04 05:15,0,0
2022-09-04 05:30,0,0
2022-09-04 05:45,0,0
2022-09-04 06:00,0,0
2022-09-04 06:15,0,0
2022-09-04 06:30,0,0
2022-09-04 06:45,1,1
2022-09-04 07:00,0,0
2022-09-04 07:15,3,0
2022-09-04 07:30,2,3
2022-09-04 07:45,0,0
2022-09-04 08:00,0,0
2022-09-04 08:15,0,0
2022-09-04 08:30,3,0
2022-09-04 08:45,0,0
2022-09-04 09:00,2,0
2022-09-04 09:15,2,1
2022-09-04 09:30,2,1
2022-09-04 09:45,1,2
2022-09-04 10:00,1,1
2022-09-04 10:15,0,0
2022-09-04 10:30,6,1
2022-09-04 10:45,2,1
